0001-1541	aiche j
1757-1693	glob chang biol bioenerg
1758-2229	environ microbiol rep
1759-2879	res synth methods
1787-064X	acta silv lignaria hung
1805-4196	j landsc ecol
1860-6768	biotechnol j
1860-7179	chemmedchem
1862-6254	phys status solidi rapid res letters
1862-6300	phys status solidi a appl mater sci
1862-6351	phys stat solidi c curr top solid state phys
1862-832X	macromol react eng
1862-8346	proteonomics clin appl
1863-0650	clean
1863-8880	laser photonics rev
1864-5631	chemsuschem
1866-9808	lang cogn
1867-3880	chemcatchem
1886-6581	apunts med esport
1931-4973	ieej trans electr electron eng
1932-104X	biofuels bioprod biorefining
1932-5223	j exp zool part a ecol genet physiol
1938-5463	wildl soc bull
1939-4225	new horiz adult educ hum resource dev
1940-5510	dev disabil res rev
1944-7442	environ prog sustain energy
2029-0454	balt j law polit
2041-1006	mol oral microbiol
2041-1286	int j appl glass sci
2044-5415	bmj qual saf
2044-8422	curr leg probl
2068-7532	j adv res manag
2068-7710	theor pract res econom fields
2068-7729	j environ manag tour
2068-8393	j adv stud finance
2217-2521	acta fac med naiss
2255-8551	constr sci
2255-8691	appl comput syst
2284-7308	perichoresis
2299-4831	j apic sci
2299-6885	folia scand posn
8755-0024	appl stoch models data anal
8755-1039	diagn cytopathol
8755-1209	rev geophys
8755-6863	pediatr pulmonol
8755-7223	j prof nurs
8755-8920	am j reprod immunol microbiol
8755-9668	adv free radic biol med
8756-0437	sem surg oncol
8756-2324	att tech j
8756-3282	bone
8756-6621	electron commun jpn part 1 commun
8756-663X	electron commun jpn part 2 electron
8756-758X	fatigue fract eng mater struct
8756-7938	biotechnol prog
